ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR240945-45,BB_TREND,T060,no,62,78058.00,78216.81,0,1,38.0,3.30,34.70
KXBTC15M-26APR231515-15,BB_TREND,T060,no,56,77642.86,77760.03,0,1,44.0,3.45,40.55
KXBTC15M-26APR231330-30,BB_TREND,T060,no,59,77716.79,77863.28,0,1,41.0,3.39,37.61
KXBTC15M-26APR231315-15,BB_TREND,T060,no,31,77965.81,78128.71,0,1,69.0,2.99,66.01
KXBTC15M-26APR231130-30,BB_TREND,T060,yes,57,78266.87,78121.00,1,1,43.0,3.43,39.57
KXBTC15M-26APR231045-45,BB_TREND,T060,no,46,77704.00,77842.93,1,0,-46.0,3.48,-49.48
KXBTC15M-26APR222230-30,BB_TREND,T060,no,66,78078.71,78230.61,0,1,34.0,3.14,30.86
KXBTC15M-26APR222030-30,BB_TREND,T060,no,80,77623.09,77959.83,1,0,-80.0,2.24,-82.24
KXBTC15M-26APR221945-45,BB_TREND,T060,no,61,78234.60,78364.53,0,1,39.0,3.33,35.67
KXBTC15M-26APR221515-15,BB_TREND,T060,no,80,78860.88,79036.82,0,1,20.0,2.24,17.76
KXBTC15M-26APR221315-15,BB_TREND,T060,yes,60,78899.00,78771.94,1,1,40.0,3.36,36.64
KXBTC15M-26APR220130-30,BB_TREND,T060,yes,35,77891.23,77579.17,1,1,65.0,3.19,61.81
KXBTC15M-26APR212330-30,BB_TREND,T060,no,61,77453.29,77611.40,0,1,39.0,3.33,35.67
KXBTC15M-26APR212230-30,BB_TREND,T060,yes,63,76924.60,76765.04,1,1,37.0,3.26,33.74
KXBTC15M-26APR212030-30,BB_TREND,T060,no,58,76300.00,76429.98,0,1,42.0,3.41,38.59
KXBTC15M-26APR211400-00,BB_TREND,T060,no,60,75658.73,75808.70,0,1,40.0,3.36,36.64
KXBTC15M-26APR211330-30,BB_TREND,T060,no,67,75340.26,75526.23,0,1,33.0,3.10,29.90
KXBTC15M-26APR211100-00,BB_TREND,T060,no,57,76285.71,76502.35,0,1,43.0,3.43,39.57
KXBTC15M-26APR210945-45,BB_TREND,T060,no,63,75900.00,76054.79,1,0,-63.0,3.26,-66.26
KXBTC15M-26APR210245-45,BB_TREND,T060,yes,75,75952.03,75793.57,1,1,25.0,2.63,22.38
KXBTC15M-26APR202215-15,BB_TREND,T060,no,67,75806.45,75954.71,0,1,33.0,3.10,29.90
KXBTC15M-26APR202130-30,BB_TREND,T060,no,75,76021.27,76181.40,0,1,25.0,2.63,22.38
KXBTC15M-26APR201745-45,BB_TREND,T060,no,65,75809.65,75978.37,0,1,35.0,3.19,31.81
KXBTC15M-26APR201615-15,BB_TREND,T060,no,73,76150.00,76314.38,1,0,-73.0,2.76,-75.76
KXBTC15M-26APR201100-00,BB_TREND,T060,no,51,75234.30,75375.79,0,1,49.0,3.50,45.50
