ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR070430-30,FULL_STACK,T300,no,30,68723.78,68726.65,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR070315-15,FULL_STACK,T300,yes,30,68572.05,68582.09,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR070300-00,FULL_STACK,T300,yes,44,68558.56,68545.84,1,1,56.0,3.45,52.55
KXBTC15M-26APR070200-00,FULL_STACK,T300,yes,37,68650.95,68657.63,0,0,-37.0,3.26,-40.26
KXBTC15M-26APR062215-15,FULL_STACK,T300,yes,41,68445.81,68437.05,0,0,-41.0,3.39,-44.39
KXBTC15M-26APR062015-15,FULL_STACK,T300,yes,75,69027.29,68855.30,1,1,25.0,2.63,22.38
KXBTC15M-26APR061815-15,FULL_STACK,T300,yes,17,69493.58,69519.12,1,1,83.0,1.98,81.02
KXBTC15M-26APR061745-45,FULL_STACK,T300,yes,33,69658.64,69682.15,0,0,-33.0,3.10,-36.10
KXBTC15M-26APR061545-45,FULL_STACK,T300,yes,25,69852.77,69865.09,0,0,-25.0,2.63,-27.62
KXBTC15M-26APR061530-30,FULL_STACK,T300,yes,74,69858.70,69714.27,1,1,26.0,2.69,23.31
KXBTC15M-26APR061245-45,FULL_STACK,T300,yes,68,70080.53,69964.89,1,1,32.0,3.05,28.95
KXBTC15M-26APR060730-30,FULL_STACK,T300,no,43,69684.73,69695.97,0,1,57.0,3.43,53.57
KXBTC15M-26APR060715-15,FULL_STACK,T300,yes,29,69769.60,69762.01,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR060500-00,FULL_STACK,T300,yes,31,69263.03,69282.32,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR060300-00,FULL_STACK,T300,yes,72,69067.75,68933.41,1,1,28.0,2.82,25.18
KXBTC15M-26APR052130-30,FULL_STACK,T300,yes,34,68876.00,68891.65,1,1,66.0,3.14,62.86
KXBTC15M-26APR051915-15,FULL_STACK,T300,yes,43,68445.26,68325.09,1,1,57.0,3.43,53.57
KXBTC15M-26APR051830-30,FULL_STACK,T300,yes,40,67538.41,67514.02,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR051745-45,FULL_STACK,T300,yes,45,67478.38,67459.02,0,0,-45.0,3.47,-48.47
KXBTC15M-26APR051715-15,FULL_STACK,T300,yes,35,67641.51,67622.88,0,0,-35.0,3.19,-38.19
KXBTC15M-26APR051630-30,FULL_STACK,T300,yes,46,67391.89,67366.11,1,1,54.0,3.48,50.52
KXBTC15M-26APR051345-45,FULL_STACK,T300,yes,32,67332.62,67321.31,1,1,68.0,3.05,64.95
KXBTC15M-26APR051200-00,FULL_STACK,T300,yes,30,67401.70,67411.81,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR051045-45,FULL_STACK,T300,yes,38,66913.82,66895.86,1,1,62.0,3.30,58.70
KXBTC15M-26APR050930-30,FULL_STACK,T300,no,38,66741.74,66765.27,0,1,62.0,3.30,58.70
KXBTC15M-26APR050730-30,FULL_STACK,T300,yes,39,67065.78,67061.58,0,0,-39.0,3.33,-42.33
KXBTC15M-26APR050700-00,FULL_STACK,T300,yes,23,67086.07,67060.50,0,0,-23.0,2.48,-25.48
KXBTC15M-26APR050630-30,FULL_STACK,T300,yes,49,66985.21,66964.30,1,1,51.0,3.50,47.50
KXBTC15M-26APR050615-15,FULL_STACK,T300,yes,42,67038.48,67019.69,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR050600-00,FULL_STACK,T300,no,33,67007.07,67010.11,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR050445-45,FULL_STACK,T300,yes,43,66882.65,66866.05,0,0,-43.0,3.43,-46.43
KXBTC15M-26APR050345-45,FULL_STACK,T300,yes,17,66815.28,66804.82,0,0,-17.0,1.98,-18.98
KXBTC15M-26APR050215-15,FULL_STACK,T300,no,32,66901.36,66909.90,0,1,68.0,3.05,64.95
KXBTC15M-26APR050200-00,FULL_STACK,T300,yes,30,67086.10,67077.10,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR050145-45,FULL_STACK,T300,no,35,67076.79,67078.11,0,1,65.0,3.19,61.81
KXBTC15M-26APR050130-30,FULL_STACK,T300,yes,47,67125.58,67107.30,0,0,-47.0,3.49,-50.49
KXBTC15M-26APR050030-30,FULL_STACK,T300,no,18,67097.32,67076.53,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR042245-45,FULL_STACK,T300,no,32,67116.66,67120.17,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR042130-30,FULL_STACK,T300,yes,19,67178.50,67181.04,0,0,-19.0,2.15,-21.15
KXBTC15M-26APR042045-45,FULL_STACK,T300,yes,50,67251.03,67228.41,1,1,50.0,3.50,46.50
KXBTC15M-26APR041745-45,FULL_STACK,T300,no,41,67261.49,67274.06,1,0,-41.0,3.39,-44.39
KXBTC15M-26APR041515-15,FULL_STACK,T300,no,15,67308.50,67290.07,1,0,-15.0,1.79,-16.79
KXBTC15M-26APR041030-30,FULL_STACK,T300,no,38,67194.13,67198.18,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR040945-45,FULL_STACK,T300,no,42,67097.60,67102.24,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR040930-30,FULL_STACK,T300,no,42,67097.34,67101.79,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR040915-15,FULL_STACK,T300,yes,32,67098.79,67097.43,1,1,68.0,3.05,64.95
KXBTC15M-26APR040900-00,FULL_STACK,T300,no,18,67072.46,67061.76,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR040800-00,FULL_STACK,T300,yes,21,67134.67,67140.60,1,1,79.0,2.32,76.68
KXBTC15M-26APR040730-30,FULL_STACK,T300,yes,16,67180.33,67166.18,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR040715-15,FULL_STACK,T300,no,35,67163.50,67162.37,1,0,-35.0,3.19,-38.19
KXBTC15M-26APR040645-45,FULL_STACK,T300,yes,46,66946.55,66941.57,1,1,54.0,3.48,50.52
KXBTC15M-26APR040615-15,FULL_STACK,T300,yes,40,66984.14,66974.61,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR040530-30,FULL_STACK,T300,no,45,66972.05,66980.39,0,1,55.0,3.47,51.53
KXBTC15M-26APR040415-15,FULL_STACK,T300,no,51,66996.90,67012.95,0,1,49.0,3.50,45.50
KXBTC15M-26APR040245-45,FULL_STACK,T300,no,30,66929.23,66924.56,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR040230-30,FULL_STACK,T300,yes,54,66968.86,66951.03,0,0,-54.0,3.48,-57.48
KXBTC15M-26APR040200-00,FULL_STACK,T300,yes,41,66913.88,66894.26,1,1,59.0,3.39,55.61
KXBTC15M-26APR040000-00,FULL_STACK,T300,no,27,66840.50,66855.00,0,1,73.0,2.76,70.24
KXBTC15M-26APR032315-15,FULL_STACK,T300,no,18,66857.72,66831.22,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR031945-45,FULL_STACK,T300,no,54,66834.76,66859.21,1,0,-54.0,3.48,-57.48
KXBTC15M-26APR031915-15,FULL_STACK,T300,yes,53,66919.64,66894.31,0,0,-53.0,3.49,-56.49
KXBTC15M-26APR031545-45,FULL_STACK,T300,no,29,66784.64,66786.85,1,0,-29.0,2.88,-31.88
KXBTC15M-26APR031530-30,FULL_STACK,T300,yes,40,66799.76,66799.15,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR031500-00,FULL_STACK,T300,yes,27,66834.46,66856.01,0,0,-27.0,2.76,-29.76
KXBTC15M-26APR031415-15,FULL_STACK,T300,yes,40,66861.13,66864.62,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR031400-00,FULL_STACK,T300,yes,19,66890.12,66878.71,0,0,-19.0,2.15,-21.15
KXBTC15M-26APR031230-30,FULL_STACK,T300,no,46,66887.42,66899.80,1,0,-46.0,3.48,-49.48
KXBTC15M-26APR031215-15,FULL_STACK,T300,yes,44,66861.60,66855.38,1,1,56.0,3.45,52.55
KXBTC15M-26APR031100-00,FULL_STACK,T300,no,19,66855.05,66830.65,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR030800-00,FULL_STACK,T300,yes,23,67000.00,67010.70,0,0,-23.0,2.48,-25.48
KXBTC15M-26APR030615-15,FULL_STACK,T300,yes,9,66856.07,66862.78,0,0,-9.0,1.15,-10.15
KXBTC15M-26APR030515-15,FULL_STACK,T300,yes,36,66996.09,66976.08,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR030430-30,FULL_STACK,T300,no,73,66957.74,67200.03,0,1,27.0,2.76,24.24
KXBTC15M-26APR030245-45,FULL_STACK,T300,yes,55,66740.70,66632.06,1,1,45.0,3.46,41.53
KXBTC15M-26APR030230-30,FULL_STACK,T300,no,46,66623.67,66649.99,0,1,54.0,3.48,50.52
KXBTC15M-26APR030200-00,FULL_STACK,T300,no,75,66640.53,66756.96,0,1,25.0,2.63,22.38
KXBTC15M-26APR030045-45,FULL_STACK,T300,yes,37,66548.83,66560.88,1,1,63.0,3.26,59.74
KXBTC15M-26APR022000-00,FULL_STACK,T300,yes,37,66891.59,66891.89,1,1,63.0,3.26,59.74
KXBTC15M-26APR021945-45,FULL_STACK,T300,no,44,66929.51,66944.52,0,1,56.0,3.45,52.55
KXBTC15M-26APR021700-00,FULL_STACK,T300,yes,32,67009.51,67009.61,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR021600-00,FULL_STACK,T300,yes,36,66983.97,66967.82,1,1,64.0,3.23,60.77
KXBTC15M-26APR021415-15,FULL_STACK,T300,no,32,66696.45,66679.45,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR021300-00,FULL_STACK,T300,yes,49,67193.69,67168.33,0,0,-49.0,3.50,-52.50
KXBTC15M-26APR021230-30,FULL_STACK,T300,yes,41,66914.15,66901.07,0,0,-41.0,3.39,-44.39
KXBTC15M-26APR021130-30,FULL_STACK,T300,no,72,66698.46,66889.54,0,1,28.0,2.82,25.18
KXBTC15M-26APR020800-00,FULL_STACK,T300,yes,44,66348.93,66332.03,0,0,-44.0,3.45,-47.45
KXBTC15M-26APR020615-15,FULL_STACK,T300,yes,31,66468.42,66463.30,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR020130-30,FULL_STACK,T300,no,42,66383.75,66381.74,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR020100-00,FULL_STACK,T300,yes,73,66501.35,66293.47,1,1,27.0,2.76,24.24
KXBTC15M-26APR012330-30,FULL_STACK,T300,yes,36,66752.43,66768.20,1,1,64.0,3.23,60.77
KXBTC15M-26APR012030-30,FULL_STACK,T300,yes,46,68237.04,68210.29,1,1,54.0,3.48,50.52
KXBTC15M-26APR011900-00,FULL_STACK,T300,yes,18,68243.81,68253.11,0,0,-18.0,2.07,-20.07
KXBTC15M-26APR011830-30,FULL_STACK,T300,yes,13,68179.63,68206.19,0,0,-13.0,1.58,-14.58
KXBTC15M-26APR011700-00,FULL_STACK,T300,no,41,68150.83,68163.07,1,0,-41.0,3.39,-44.39
