ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26MAR282245-45,BB_TREND,T600,yes,75,66724.76,66605.91,1,1,25.0,2.63,22.38
KXBTC15M-26MAR282130-30,BB_TREND,T600,yes,38,66617.20,66506.19,0,0,-38.0,3.30,-41.30
KXBTC15M-26MAR281645-45,BB_TREND,T600,yes,74,66992.62,66868.69,0,0,-74.0,2.69,-76.69
KXBTC15M-26MAR281115-15,BB_TREND,T600,yes,80,66806.98,66697.95,1,1,20.0,2.24,17.76
KXBTC15M-26MAR271600-00,BB_TREND,T600,yes,64,65994.63,65873.69,1,1,36.0,3.23,32.77
KXBTC15M-26MAR271045-45,BB_TREND,T600,yes,74,65859.32,65705.03,1,1,26.0,2.69,23.31
KXBTC15M-26MAR270330-30,BB_TREND,T600,yes,75,68910.64,68790.79,1,1,25.0,2.63,22.38
KXBTC15M-26MAR270145-45,BB_TREND,T600,yes,27,68841.36,68574.81,1,1,73.0,2.76,70.24
KXBTC15M-26MAR261045-45,BB_TREND,T600,yes,65,69717.14,69595.61,0,0,-65.0,3.19,-68.19
KXBTC15M-26MAR260945-45,BB_TREND,T600,yes,22,69497.32,69353.49,1,1,78.0,2.40,75.60
