ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR240945-45,ATM_REVERSION,T600,no,29,78218.61,78216.81,0,1,71.0,2.88,68.12
KXBTC15M-26APR240830-30,ATM_REVERSION,T600,no,33,78331.60,78335.78,0,1,67.0,3.10,63.90
KXBTC15M-26APR240730-30,ATM_REVERSION,T600,no,24,78222.33,78219.07,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR240300-00,ATM_REVERSION,T600,no,20,77860.69,77871.91,0,1,80.0,2.24,77.76
KXBTC15M-26APR240230-30,ATM_REVERSION,T600,yes,32,77951.32,77946.06,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR240030-30,ATM_REVERSION,T600,no,4,77779.69,77758.39,0,1,96.0,0.54,95.46
KXBTC15M-26APR232245-45,ATM_REVERSION,T600,no,12,78297.16,78287.09,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR232045-45,ATM_REVERSION,T600,no,12,78429.23,78430.74,0,1,88.0,1.48,86.52
KXBTC15M-26APR231930-30,ATM_REVERSION,T600,no,21,78135.57,78124.20,1,0,-21.0,2.32,-23.32
KXBTC15M-26APR231845-45,ATM_REVERSION,T600,no,19,78236.94,78231.64,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR230845-45,ATM_REVERSION,T600,no,23,77791.27,77769.72,1,0,-23.0,2.48,-25.48
KXBTC15M-26APR230100-00,ATM_REVERSION,T600,no,33,77901.36,77913.21,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR222100-00,ATM_REVERSION,T600,yes,32,78421.83,78428.84,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR222000-00,ATM_REVERSION,T600,yes,13,78292.72,78292.55,0,0,-13.0,1.58,-14.58
KXBTC15M-26APR221900-00,ATM_REVERSION,T600,no,22,78551.79,78549.37,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR221115-15,ATM_REVERSION,T600,yes,16,79077.71,79098.06,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR221030-30,ATM_REVERSION,T600,no,27,79050.86,79036.75,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR220900-00,ATM_REVERSION,T600,no,25,78241.79,78231.14,1,0,-25.0,2.63,-27.62
KXBTC15M-26APR220345-45,ATM_REVERSION,T600,no,20,77877.39,77873.22,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR220300-00,ATM_REVERSION,T600,no,19,78003.20,77981.47,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR220015-15,ATM_REVERSION,T600,no,34,77571.75,77568.66,0,1,66.0,3.14,62.86
KXBTC15M-26APR212145-45,ATM_REVERSION,T600,no,4,76196.00,76182.32,1,0,-4.0,0.54,-4.54
KXBTC15M-26APR212115-15,ATM_REVERSION,T600,no,20,76331.16,76312.89,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR212015-15,ATM_REVERSION,T600,no,8,76338.50,76351.47,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR211900-00,ATM_REVERSION,T600,no,26,75570.32,75564.49,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR211745-45,ATM_REVERSION,T600,no,18,75571.22,75584.93,0,1,82.0,2.07,79.93
KXBTC15M-26APR211730-30,ATM_REVERSION,T600,no,24,75594.94,75599.79,0,1,76.0,2.55,73.45
KXBTC15M-26APR211700-00,ATM_REVERSION,T600,no,23,75697.65,75690.92,1,0,-23.0,2.48,-25.48
KXBTC15M-26APR211415-15,ATM_REVERSION,T600,no,27,75560.36,75561.72,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR211200-00,ATM_REVERSION,T600,yes,28,75728.87,75751.10,1,1,72.0,2.82,69.18
KXBTC15M-26APR210300-00,ATM_REVERSION,T600,yes,25,76022.38,76034.37,0,0,-25.0,2.63,-27.62
KXBTC15M-26APR210045-45,ATM_REVERSION,T600,no,12,75710.64,75688.18,1,0,-12.0,1.48,-13.48
