ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR240745-45,ATM_REVERSION,T300,no,28,78347.65,78328.70,0,1,72.0,2.82,69.18
KXBTC15M-26APR240530-30,ATM_REVERSION,T300,no,21,77523.66,77513.73,1,0,-21.0,2.32,-23.32
KXBTC15M-26APR240500-00,ATM_REVERSION,T300,no,11,77789.78,77779.18,1,0,-11.0,1.37,-12.37
KXBTC15M-26APR240345-45,ATM_REVERSION,T300,yes,27,77735.00,77732.59,0,0,-27.0,2.76,-29.76
KXBTC15M-26APR240230-30,ATM_REVERSION,T300,no,26,77951.32,77946.06,0,1,74.0,2.69,71.31
KXBTC15M-26APR232100-00,ATM_REVERSION,T300,no,18,78435.92,78413.70,0,1,82.0,2.07,79.93
KXBTC15M-26APR232045-45,ATM_REVERSION,T300,no,26,78446.70,78430.74,0,1,74.0,2.69,71.31
KXBTC15M-26APR231700-00,ATM_REVERSION,T300,yes,22,77995.86,77997.99,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR231145-45,ATM_REVERSION,T300,no,32,78489.05,78472.94,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR230745-45,ATM_REVERSION,T300,yes,19,77477.33,77492.26,1,1,81.0,2.15,78.85
KXBTC15M-26APR230530-30,ATM_REVERSION,T300,no,19,77591.56,77591.51,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR222130-30,ATM_REVERSION,T300,yes,22,78274.41,78284.16,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR221845-45,ATM_REVERSION,T300,yes,28,78558.43,78575.02,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR221800-00,ATM_REVERSION,T300,no,24,78789.14,78766.01,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR220600-00,ATM_REVERSION,T300,yes,34,78144.75,78159.50,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR220015-15,ATM_REVERSION,T300,no,34,77578.50,77568.66,0,1,66.0,3.14,62.86
