ticker,entry_ts,side,entry_c,fair_for_side,spread_c,baseline_c,btc_dist_signed_pct,btc_dist_abs_pct,session_age_s,btc_5m_move,btc_15m_move,aligned_with_btc5m,hour_utc,exit_reason,exit_c,fill_at_s,net_c
KXBTC15M-26APR240615-15,1777024920,yes,24,43,19,28,-0.0329,0.0329,120,0.00,-38.81,0,10,SL,15,240,-11.53
KXBTC15M-26APR240600-00,1777024020,yes,40,46,6,41,-0.0203,0.0203,120,0.00,131.70,0,9,SL,19,180,-24.19
KXBTC15M-26APR240545-45,1777023120,no,40,76,36,58,-0.1290,0.1290,120,-61.27,-105.78,1,9,TP,70,120,26.85
KXBTC15M-26APR240530-30,1777022220,no,18,43,25,82,0.0299,0.0299,120,90.17,-297.46,0,9,TP,48,360,27.22
KXBTC15M-26APR240500-00,1777020420,no,32,47,15,63,0.0136,0.0136,120,-24.32,-47.73,1,8,SL,20,60,-15.09
KXBTC15M-26APR240445-45,1777019940,no,63,80,9,37,-0.0996,0.0996,540,-23.41,-109.25,1,8,TP,93,180,27.91
KXBTC15M-26APR240415-15,1777017720,no,59,65,3,41,-0.0474,0.0474,120,17.07,-25.85,0,8,SL,43,60,-20.10
KXBTC15M-26APR240400-00,1777016820,no,24,65,41,66,-0.0444,0.0444,120,-13.72,-83.08,1,7,SL,8,240,-18.00
KXBTC15M-26APR240345-45,1777016400,no,50,96,20,50,-0.1098,0.1098,600,-87.76,-25.65,1,7,TP,80,120,27.13
KXBTC15M-26APR240330-30,1777015020,no,51,73,15,49,-0.0738,0.0738,120,-100.22,-46.35,1,7,TP,81,240,27.17
KXBTC15M-26APR240315-15,1777014120,no,49,64,12,51,-0.0436,0.0436,120,-71.79,-6.19,1,7,SL,38,240,-15.06
KXBTC15M-26APR240300-00,1777013220,no,64,73,5,36,-0.0986,0.0986,120,0.00,-156.23,0,6,SL,51,120,-17.06
KXBTC15M-26APR240245-45,1777012320,yes,32,80,48,36,0.1097,0.1097,120,0.00,17.20,0,6,SL,23,120,-12.26
KXBTC15M-26APR240230-30,1777011420,no,38,54,16,59,-0.0153,0.0153,120,0.00,-77.25,0,6,SL,24,180,-17.44
KXBTC15M-26APR240215-15,1777010520,yes,38,59,21,43,0.0376,0.0376,120,0.00,311.56,0,6,SL,21,360,-20.28
KXBTC15M-26APR240200-00,1777009620,no,48,72,22,52,-0.0797,0.0797,120,0.00,2.09,0,5,SL,23,120,-28.48
KXBTC15M-26APR240145-45,1777008720,no,22,33,11,78,0.0765,0.0765,120,113.02,109.34,0,5,SL,13,240,-11.31
KXBTC15M-26APR240130-30,1777008000,no,56,66,6,44,-0.0657,0.0657,300,-47.15,-99.72,1,5,SL,47,120,-13.17
KXBTC15M-26APR240115-15,1777006920,no,48,56,4,52,-0.0287,0.0287,120,-37.69,63.71,1,5,TP,78,300,27.05
KXBTC15M-26APR240100-00,1777006020,no,30,60,30,55,-0.0417,0.0417,120,112.65,19.16,0,4,SL,11,120,-21.43
KXBTC15M-26APR240045-45,1777005120,no,43,73,30,56,-0.0909,0.0909,120,-186.20,-81.47,1,4,TP,73,480,26.90
KXBTC15M-26APR240030-30,1777004220,no,62,73,3,38,-0.1073,0.1073,120,0.00,-23.08,0,4,SL,41,180,-25.02
KXBTC15M-26APR240015-15,1777003680,no,65,79,3,35,-0.1099,0.1099,480,-33.42,-69.02,1,4,TP,95,240,28.07
KXBTC15M-26APR240000-00,1777002720,yes,56,70,22,56,0.0804,0.0804,420,47.03,4.87,1,3,TP,86,0,27.43
KXBTC15M-26APR232315-15,1776999780,no,44,63,13,56,-0.0646,0.0646,180,-22.78,-315.18,1,3,TP,74,540,26.93
KXBTC15M-26APR232300-00,1776998940,no,47,71,9,53,-0.0870,0.0870,240,-13.61,59.79,1,2,TP,77,0,27.02
KXBTC15M-26APR232245-45,1776997920,no,43,55,7,57,-0.0236,0.0236,120,-4.53,-104.74,1,2,SL,34,60,-12.91
KXBTC15M-26APR232230-30,1776997260,no,63,73,3,37,-0.1034,0.1034,360,-24.34,-12.95,1,2,TP,93,120,27.91
KXBTC15M-26APR232215-15,1776996120,no,32,48,16,58,0.0113,0.0113,120,60.30,313.24,0,2,SL,17,120,-17.91
KXBTC15M-26APR232200-00,1776995220,yes,64,77,5,64,0.1212,0.1212,120,37.90,201.95,1,1,TP,94,60,27.99
