ticker,side,entry_c,fair_for_side,spread_c,baseline_c,mfe_c,mae_c,mfe_at_s,mae_at_s,final_bid_c,settled_yes,btc_dist_pct,closed_full,closed_half,closed_min,directional
KXBTC15M-26APR220530-30,no,51,61,10,49,77,0,120,720,0,1,0.0410,1,1,1,1
KXBTC15M-26APR220515-15,no,71,83,12,28,86,31,360,720,31,0,0.1413,1,1,1,1
KXBTC15M-26APR220500-00,no,39,58,19,60,49,0,120,720,0,1,0.0345,0,1,1,1
KXBTC15M-26APR220445-45,no,50,55,0,50,98,47,720,540,98,0,0.0211,1,1,1,1
KXBTC15M-26APR220430-30,yes,50,65,7,50,77,0,60,480,0,0,0.0510,1,1,1,1
KXBTC15M-26APR220415-15,yes,64,73,3,64,100,48,720,120,100,1,0.1213,1,1,1,1
KXBTC15M-26APR220400-00,no,43,82,13,57,82,19,180,360,19,0,0.1151,1,1,1,1
KXBTC15M-26APR220345-45,yes,51,60,10,51,100,51,540,0,100,1,0.0344,1,1,1,1
KXBTC15M-26APR220330-30,yes,43,60,17,47,43,0,0,600,0,0,0.0271,0,0,0,0
KXBTC15M-26APR220315-15,yes,47,54,5,47,99,47,720,0,99,1,0.0105,1,1,1,1
KXBTC15M-26APR220300-00,yes,47,62,15,51,96,47,540,0,96,1,0.0505,1,1,1,1
KXBTC15M-26APR220245-45,yes,56,65,9,59,85,40,720,360,85,1,0.1098,1,1,1,1
KXBTC15M-26APR220230-30,yes,46,55,9,46,63,0,120,540,0,0,0.0358,1,1,1,1
KXBTC15M-26APR220200-00,no,55,67,6,45,99,53,420,240,99,0,0.1280,1,1,1,1
KXBTC15M-26APR220145-45,yes,39,69,30,42,39,1,0,180,1,0,0.0973,0,0,0,0
KXBTC15M-26APR220115-15,no,54,60,1,46,58,0,0,720,0,1,0.0387,0,1,0,1
KXBTC15M-26APR220100-00,yes,47,52,3,47,55,0,60,720,0,0,0.0101,1,1,1,1
KXBTC15M-26APR220045-45,no,46,55,5,54,51,0,120,600,0,1,0.0200,0,1,0,1
KXBTC15M-26APR220030-30,no,64,76,4,36,91,48,120,300,72,0,0.0971,1,1,1,1
KXBTC15M-26APR220015-15,no,46,52,6,54,93,9,720,600,93,0,0.0133,1,1,1,1
KXBTC15M-26APR220000-00,no,61,71,2,39,71,17,480,540,26,0,0.1245,1,1,1,1
KXBTC15M-26APR212330-30,yes,23,47,24,30,28,1,60,180,1,0,0.0129,0,0,0,1
KXBTC15M-26APR212315-15,yes,44,65,13,44,80,3,420,480,3,1,0.1220,1,1,1,1
KXBTC15M-26APR212300-00,yes,40,54,14,42,100,39,420,0,100,1,0.0315,1,1,1,1
KXBTC15M-26APR212245-45,no,57,65,4,43,84,5,480,720,5,1,0.1367,1,1,1,1
KXBTC15M-26APR212215-15,no,43,71,15,57,72,0,60,540,0,1,0.1006,1,1,1,1
KXBTC15M-26APR212200-00,no,45,61,15,55,62,0,60,720,0,1,0.0492,1,1,1,1
KXBTC15M-26APR212145-45,no,38,52,14,58,44,0,180,720,0,1,0.0100,0,0,0,1
