ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR240830-30,BB_TREND,T300,no,59,78218.15,78335.78,0,1,41.0,3.39,37.61
KXBTC15M-26APR232145-45,BB_TREND,T300,no,62,77955.96,78091.26,0,1,38.0,3.30,34.70
KXBTC15M-26APR231045-45,BB_TREND,T300,no,48,77704.00,77842.93,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR230615-15,BB_TREND,T300,no,60,77375.07,77658.63,0,1,40.0,3.36,36.64
KXBTC15M-26APR221545-45,BB_TREND,T300,no,73,78860.42,79035.18,0,1,27.0,2.76,24.24
KXBTC15M-26APR220945-45,BB_TREND,T300,no,51,78342.00,78488.12,1,0,-51.0,3.50,-54.50
KXBTC15M-26APR220030-30,BB_TREND,T300,no,72,77379.23,77528.59,0,1,28.0,2.82,25.18
KXBTC15M-26APR211315-15,BB_TREND,T300,no,61,75667.39,75802.38,0,1,39.0,3.33,35.67
KXBTC15M-26APR210945-45,BB_TREND,T300,no,73,75900.00,76054.79,1,0,-73.0,2.76,-75.76
KXBTC15M-26APR201645-45,BB_TREND,T300,no,73,76242.14,76361.85,0,1,27.0,2.76,24.24
KXBTC15M-26APR201500-00,BB_TREND,T300,yes,54,76366.91,76204.99,1,1,46.0,3.48,42.52
KXBTC15M-26APR201445-45,BB_TREND,T300,no,45,76036.72,76151.82,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR201415-15,BB_TREND,T300,yes,76,76116.39,75944.84,1,1,24.0,2.55,21.45
KXBTC15M-26APR201145-45,BB_TREND,T300,no,65,75516.20,75680.32,0,1,35.0,3.19,31.81
KXBTC15M-26APR200930-30,BB_TREND,T300,no,76,75095.48,75273.52,0,1,24.0,2.55,21.45
KXBTC15M-26APR200915-15,BB_TREND,T300,no,73,75185.65,75320.45,0,1,27.0,2.76,24.24
KXBTC15M-26APR200830-30,BB_TREND,T300,yes,76,75604.70,75385.56,1,1,24.0,2.55,21.45
KXBTC15M-26APR200015-15,BB_TREND,T300,no,77,74537.59,74661.40,0,1,23.0,2.48,20.52
KXBTC15M-26APR192000-00,BB_TREND,T300,no,43,73756.70,73918.56,0,1,57.0,3.43,53.57
KXBTC15M-26APR191830-30,BB_TREND,T300,no,44,73902.28,74047.31,0,1,56.0,3.45,52.55
KXBTC15M-26APR191015-15,BB_TREND,T300,no,77,75753.97,75929.04,0,1,23.0,2.48,20.52
KXBTC15M-26APR180545-45,BB_TREND,T300,no,12,76460.05,76603.61,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR171515-15,BB_TREND,T300,no,59,77029.17,77197.20,1,0,-59.0,3.39,-62.39
KXBTC15M-26APR171245-45,BB_TREND,T300,no,60,78090.13,78219.86,0,1,40.0,3.36,36.64
KXBTC15M-26APR171015-15,BB_TREND,T300,no,56,77260.31,77400.37,0,1,44.0,3.45,40.55
KXBTC15M-26APR170915-15,BB_TREND,T300,no,59,76130.98,76276.25,1,0,-59.0,3.39,-62.39
KXBTC15M-26APR162015-15,BB_TREND,T300,no,79,75032.63,75185.82,0,1,21.0,2.32,18.68
KXBTC15M-26APR161730-30,BB_TREND,T300,no,75,74981.87,75177.44,0,1,25.0,2.63,22.38
KXBTC15M-26APR161615-15,BB_TREND,T300,no,66,75282.76,75403.04,1,0,-66.0,3.14,-69.14
KXBTC15M-26APR161000-00,BB_TREND,T300,no,68,74352.47,74575.28,0,1,32.0,3.05,28.95
KXBTC15M-26APR160945-45,BB_TREND,T300,no,80,74763.73,74973.33,0,1,20.0,2.24,17.76
KXBTC15M-26APR152115-15,BB_TREND,T300,no,79,74610.95,74813.45,0,1,21.0,2.32,18.68
KXBTC15M-26APR152030-30,BB_TREND,T300,no,70,74557.25,74673.11,0,1,30.0,2.94,27.06
KXBTC15M-26APR150815-15,BB_TREND,T300,no,66,74070.80,74211.89,1,0,-66.0,3.14,-69.14
KXBTC15M-26APR141245-45,BB_TREND,T300,no,72,75142.86,75327.26,0,1,28.0,2.82,25.18
KXBTC15M-26APR141115-15,BB_TREND,T300,no,65,74839.80,75153.63,0,1,35.0,3.19,31.81
KXBTC15M-26APR141015-15,BB_TREND,T300,no,64,75413.68,75570.84,1,0,-64.0,3.23,-67.23
KXBTC15M-26APR132145-45,BB_TREND,T300,no,71,74214.83,74326.19,1,0,-71.0,2.88,-73.88
KXBTC15M-26APR131715-15,BB_TREND,T300,no,76,73100.09,73215.96,1,0,-76.0,2.55,-78.55
KXBTC15M-26APR131615-15,BB_TREND,T300,no,69,73184.50,73383.57,0,1,31.0,2.99,28.01
