ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR040115-15,no,14,62,24.0,66885.70,66861.61,0.00036,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR040100-00,no,24,51,25.0,66859.89,66858.77,0.00002,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR040030-30,no,12,58,30.0,66836.97,66813.19,0.00036,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR040015-15,no,16,55,29.0,66852.47,66839.00,0.00020,0,1,84.0,1.88,82.12
KXBTC15M-26APR032245-45,no,24,53,23.0,66843.45,66836.00,0.00011,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR032230-30,yes,15,46,31.0,66826.39,66836.23,0.00015,0,0,-15.0,1.79,-16.79
KXBTC15M-26APR032200-00,no,28,59,13.0,66853.19,66838.24,0.00022,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR032130-30,no,32,39,29.0,66858.53,66868.56,0.00015,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR032115-15,no,12,59,29.0,66897.14,66888.84,0.00012,0,1,88.0,1.48,86.52
KXBTC15M-26APR032100-00,yes,6,24,18.0,66910.36,66937.08,0.00040,0,0,-6.0,0.79,-6.79
KXBTC15M-26APR032045-45,no,39,31,30.0,66920.31,66941.74,0.00032,0,1,61.0,3.33,57.67
KXBTC15M-26APR031915-15,yes,24,46,22.0,66891.71,66894.31,0.00004,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR031745-45,no,44,47,9.0,66902.01,66903.96,0.00003,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR031730-30,yes,48,65,17.0,66909.16,66898.32,0.00016,1,1,52.0,3.49,48.51
KXBTC15M-26APR031630-30,yes,42,54,12.0,66888.11,66883.20,0.00007,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR031515-15,yes,18,33,15.0,66797.49,66815.95,0.00028,0,0,-18.0,2.07,-20.07
KXBTC15M-26APR031500-00,yes,11,30,19.0,66836.88,66856.01,0.00029,0,0,-11.0,1.37,-12.37
KXBTC15M-26APR031445-45,yes,22,72,50.0,66904.97,66884.42,0.00031,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR031345-45,no,34,56,10.0,66885.73,66878.12,0.00011,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR031245-45,yes,26,40,14.0,66959.48,66972.50,0.00019,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR031215-15,yes,38,46,8.0,66850.19,66855.38,0.00008,1,1,62.0,3.30,58.70
KXBTC15M-26APR031200-00,yes,34,63,29.0,66863.20,66846.46,0.00025,1,1,66.0,3.14,62.86
KXBTC15M-26APR031130-30,yes,20,32,12.0,66936.92,66956.38,0.00029,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR030830-30,yes,22,63,41.0,67011.26,66994.50,0.00025,1,1,78.0,2.40,75.60
KXBTC15M-26APR030800-00,yes,44,68,24.0,67028.65,67010.70,0.00027,0,0,-44.0,3.45,-47.45
KXBTC15M-26APR030715-15,yes,16,48,32.0,66883.23,66885.49,0.00003,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR030500-00,no,38,49,13.0,66934.17,66935.78,0.00002,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR030300-00,yes,32,45,13.0,66746.11,66756.41,0.00015,1,1,68.0,3.05,64.95
KXBTC15M-26APR030045-45,yes,40,60,20.0,66578.42,66560.88,0.00026,1,1,60.0,3.36,56.64
KXBTC15M-26APR030030-30,yes,26,36,10.0,66583.97,66605.84,0.00033,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR021945-45,yes,12,35,23.0,66922.34,66944.52,0.00033,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR021815-15,no,54,34,12.0,66910.99,66931.18,0.00030,0,1,46.0,3.48,42.52
KXBTC15M-26APR021745-45,yes,41,55,14.0,66846.22,66840.52,0.00009,0,0,-41.0,3.39,-44.39
KXBTC15M-26APR021700-00,yes,16,50,34.0,67009.51,67009.61,0.00000,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR021530-30,yes,27,58,31.0,67068.38,67050.73,0.00026,0,0,-27.0,2.76,-29.76
KXBTC15M-26APR021415-15,yes,32,47,15.0,66672.58,66679.45,0.00010,1,1,68.0,3.05,64.95
KXBTC15M-26APR021115-15,yes,20,56,36.0,66921.59,66897.11,0.00037,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR021100-00,yes,20,48,28.0,66952.70,66958.61,0.00009,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR020700-00,yes,38,52,14.0,66471.02,66468.29,0.00004,0,0,-38.0,3.30,-41.30
KXBTC15M-26APR020545-45,yes,24,32,8.0,66456.50,66479.98,0.00035,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR020530-30,yes,30,57,27.0,66425.91,66415.89,0.00015,1,1,70.0,2.94,67.06
KXBTC15M-26APR020200-00,yes,25,52,27.0,66574.87,66567.54,0.00011,1,1,75.0,2.63,72.38
KXBTC15M-26APR020115-15,no,42,45,13.0,66331.08,66348.00,0.00026,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR020100-00,no,30,47,23.0,66282.77,66293.47,0.00016,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR012200-00,no,36,47,17.0,67190.35,67209.22,0.00028,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR012000-00,no,36,38,26.0,68101.42,68121.38,0.00029,0,1,64.0,3.23,60.77
KXBTC15M-26APR011845-45,no,42,39,19.0,68172.84,68192.81,0.00029,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR011630-30,no,32,59,9.0,68107.91,68082.10,0.00038,0,1,68.0,3.05,64.95
KXBTC15M-26APR011615-15,yes,10,44,34.0,68140.16,68156.35,0.00024,0,0,-10.0,1.26,-11.26
KXBTC15M-26APR011530-30,no,36,56,8.0,68109.65,68095.44,0.00021,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR011345-45,yes,24,48,24.0,68487.25,68493.66,0.00009,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR011045-45,yes,22,50,28.0,68486.45,68486.52,0.00000,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR010915-15,yes,18,47,29.0,68337.17,68349.85,0.00019,1,1,82.0,2.07,79.93
KXBTC15M-26APR010745-45,no,30,41,29.0,68563.93,68576.73,0.00019,0,1,70.0,2.94,67.06
KXBTC15M-26APR010715-15,yes,22,37,15.0,68530.84,68547.60,0.00024,1,1,78.0,2.40,75.60
KXBTC15M-26APR010700-00,no,13,55,32.0,68524.80,68519.72,0.00007,1,0,-13.0,1.58,-14.58
KXBTC15M-26APR010645-45,yes,18,65,47.0,68517.89,68504.15,0.00020,1,1,82.0,2.07,79.93
KXBTC15M-26APR010630-30,no,31,30,39.0,68531.33,68552.67,0.00031,0,1,69.0,2.99,66.01
KXBTC15M-26APR010545-45,yes,6,45,39.0,68527.34,68535.86,0.00012,0,0,-6.0,0.79,-6.79
KXBTC15M-26APR010530-30,yes,12,53,41.0,68485.62,68480.82,0.00007,1,1,88.0,1.48,86.52
KXBTC15M-26APR010300-00,no,42,48,10.0,69090.31,69095.32,0.00007,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR010115-15,yes,13,44,31.0,68235.08,68247.86,0.00019,1,1,87.0,1.58,85.42
KXBTC15M-26MAR312330-30,yes,26,43,17.0,67934.82,67951.80,0.00025,0,0,-26.0,2.69,-28.69
KXBTC15M-26MAR312200-00,yes,22,57,35.0,67910.47,67893.31,0.00025,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR311845-45,yes,15,50,35.0,68086.30,68086.25,0.00000,1,1,85.0,1.79,83.22
KXBTC15M-26MAR311830-30,no,35,50,15.0,68124.22,68124.44,0.00000,0,1,65.0,3.19,61.81
KXBTC15M-26MAR311730-30,yes,20,55,35.0,67959.65,67948.31,0.00017,1,1,80.0,2.24,77.76
KXBTC15M-26MAR311530-30,yes,18,61,43.0,67976.78,67956.11,0.00030,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR311400-00,yes,33,54,21.0,67643.67,67623.42,0.00030,0,0,-33.0,3.10,-36.10
KXBTC15M-26MAR311015-15,yes,30,56,26.0,67216.62,67190.30,0.00039,1,1,70.0,2.94,67.06
KXBTC15M-26MAR310645-45,yes,14,42,28.0,66298.35,66317.19,0.00028,0,0,-14.0,1.69,-15.69
KXBTC15M-26MAR310515-15,yes,26,49,23.0,66759.20,66762.52,0.00005,0,0,-26.0,2.69,-28.69
KXBTC15M-26MAR310230-30,yes,24,53,29.0,67435.73,67431.59,0.00006,0,0,-24.0,2.55,-26.55
KXBTC15M-26MAR310115-15,yes,26,54,28.0,67507.66,67496.38,0.00017,0,0,-26.0,2.69,-28.69
KXBTC15M-26MAR310100-00,yes,40,54,14.0,67561.60,67550.63,0.00016,0,0,-40.0,3.36,-43.36
KXBTC15M-26MAR310015-15,yes,30,63,33.0,67676.00,67653.72,0.00033,0,0,-30.0,2.94,-32.94
KXBTC15M-26MAR310000-00,yes,48,61,13.0,67697.89,67677.14,0.00031,0,0,-48.0,3.49,-51.49
KXBTC15M-26MAR302330-30,yes,7,61,54.0,67882.21,67859.16,0.00034,0,0,-7.0,0.91,-7.91
KXBTC15M-26MAR302315-15,yes,30,47,17.0,67938.70,67944.68,0.00009,0,0,-30.0,2.94,-32.94
KXBTC15M-26MAR302215-15,yes,18,48,30.0,67900.02,67908.21,0.00012,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR302115-15,yes,19,49,30.0,67116.46,67120.32,0.00006,1,1,81.0,2.15,78.85
KXBTC15M-26MAR302015-15,yes,16,33,17.0,66695.34,66718.88,0.00035,0,0,-16.0,1.88,-17.88
KXBTC15M-26MAR301815-15,yes,18,52,34.0,66763.94,66759.15,0.00007,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR301800-00,yes,12,54,42.0,66877.66,66869.98,0.00011,0,0,-12.0,1.48,-13.48
KXBTC15M-26MAR301700-00,yes,44,54,10.0,66617.74,66611.66,0.00009,0,0,-44.0,3.45,-47.45
KXBTC15M-26MAR301645-45,yes,46,61,15.0,66634.39,66609.38,0.00038,1,1,54.0,3.48,50.52
KXBTC15M-26MAR301415-15,yes,9,54,45.0,66780.89,66771.30,0.00014,0,0,-9.0,1.15,-10.15
KXBTC15M-26MAR301315-15,yes,26,56,30.0,67295.15,67282.49,0.00019,0,0,-26.0,2.69,-28.69
KXBTC15M-26MAR301200-00,yes,41,55,14.0,67718.19,67701.85,0.00024,0,0,-41.0,3.39,-44.39
KXBTC15M-26MAR300615-15,yes,16,71,55.0,67470.48,67456.25,0.00021,0,0,-16.0,1.88,-17.88
KXBTC15M-26MAR300530-30,yes,15,57,42.0,67560.97,67545.84,0.00022,0,0,-15.0,1.79,-16.79
KXBTC15M-26MAR300515-15,yes,14,49,35.0,67627.91,67629.68,0.00003,0,0,-14.0,1.69,-15.69
KXBTC15M-26MAR300330-30,yes,11,47,36.0,67325.85,67331.56,0.00008,0,0,-11.0,1.37,-12.37
KXBTC15M-26MAR300300-00,yes,22,60,38.0,67345.83,67329.58,0.00024,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR300045-45,no,36,42,22.0,67420.45,67439.22,0.00028,0,1,64.0,3.23,60.77
KXBTC15M-26MAR292345-45,yes,24,47,23.0,67163.02,67172.80,0.00015,0,0,-24.0,2.55,-26.55
KXBTC15M-26MAR292230-30,yes,24,47,23.0,66730.17,66739.84,0.00014,0,0,-24.0,2.55,-26.55
KXBTC15M-26MAR291715-15,yes,7,60,53.0,66571.89,66558.12,0.00021,0,0,-7.0,0.91,-7.91
KXBTC15M-26MAR291600-00,yes,18,63,45.0,66356.71,66344.56,0.00018,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR291400-00,yes,30,66,36.0,66378.75,66354.35,0.00037,0,0,-30.0,2.94,-32.94
KXBTC15M-26MAR291300-00,yes,11,59,48.0,66496.74,66482.07,0.00022,0,0,-11.0,1.37,-12.37
KXBTC15M-26MAR291245-45,yes,8,47,39.0,66555.83,66560.74,0.00007,0,0,-8.0,1.03,-9.03
KXBTC15M-26MAR291145-45,yes,50,59,9.0,66362.25,66346.47,0.00024,1,1,50.0,3.50,46.50
KXBTC15M-26MAR291015-15,yes,9,56,47.0,66530.89,66524.84,0.00009,1,1,91.0,1.15,89.85
KXBTC15M-26MAR291000-00,yes,12,43,31.0,66607.95,66617.72,0.00015,0,0,-12.0,1.48,-13.48
KXBTC15M-26MAR290845-45,yes,18,61,43.0,66748.88,66736.78,0.00018,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR290830-30,yes,26,67,41.0,66775.72,66756.78,0.00028,0,0,-26.0,2.69,-28.69
KXBTC15M-26MAR290800-00,yes,11,51,40.0,66852.69,66850.96,0.00003,0,0,-11.0,1.37,-12.37
KXBTC15M-26MAR290630-30,yes,7,60,53.0,66474.85,66465.91,0.00013,0,0,-7.0,0.91,-7.91
KXBTC15M-26MAR290515-15,yes,14,44,30.0,66669.52,66674.12,0.00007,0,0,-14.0,1.69,-15.69
