ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR122315-15,yes,30,49,19.0,71072.51,71073.58,0.00002,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR122300-00,no,34,58,8.0,71093.08,71081.90,0.00016,0,1,66.0,3.14,62.86
KXBTC15M-26APR121415-15,no,14,67,19.0,71161.89,71139.44,0.00032,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR121330-30,no,6,71,23.0,70976.08,70959.27,0.00024,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR121300-00,no,48,32,20.0,70877.53,70897.15,0.00028,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR121200-00,no,30,59,11.0,70912.66,70899.30,0.00019,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR121115-15,no,10,68,22.0,70811.72,70784.06,0.00039,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR120830-30,no,8,37,55.0,71412.67,71422.96,0.00014,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR120800-00,no,15,50,35.0,71480.69,71480.81,0.00000,1,0,-15.0,1.79,-16.79
KXBTC15M-26APR120715-15,no,54,28,18.0,71448.86,71474.25,0.00036,1,0,-54.0,3.48,-57.48
KXBTC15M-26APR120630-30,no,20,38,42.0,71649.39,71660.51,0.00016,0,1,80.0,2.24,77.76
KXBTC15M-26APR120215-15,no,14,62,24.0,71753.95,71742.66,0.00016,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR120045-45,no,49,38,13.0,71565.22,71584.69,0.00027,0,1,51.0,3.50,47.50
KXBTC15M-26APR120030-30,no,26,50,24.0,71577.43,71577.78,0.00000,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR112115-15,no,16,69,15.0,73126.11,73103.06,0.00032,0,1,84.0,1.88,82.12
KXBTC15M-26APR111900-00,no,28,48,24.0,73360.76,73364.14,0.00005,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR111800-00,no,12,39,49.0,73464.83,73475.39,0.00014,0,1,88.0,1.48,86.52
KXBTC15M-26APR111545-45,no,16,48,36.0,73649.27,73652.82,0.00005,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR111500-00,no,16,57,27.0,73530.53,73514.21,0.00022,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR111330-30,no,9,66,25.0,73076.14,73050.69,0.00035,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR111300-00,no,28,45,27.0,73102.41,73110.24,0.00011,0,1,72.0,2.82,69.18
KXBTC15M-26APR111030-30,no,30,13,57.0,72713.99,72739.14,0.00035,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR111015-15,no,10,69,21.0,72722.12,72708.66,0.00019,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR111000-00,no,34,36,30.0,72686.57,72706.91,0.00028,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR110815-15,no,9,45,46.0,72928.61,72930.80,0.00003,0,1,91.0,1.15,89.85
KXBTC15M-26APR110715-15,no,5,59,36.0,72880.12,72874.51,0.00008,1,0,-5.0,0.67,-5.67
KXBTC15M-26APR110430-30,yes,20,34,14.0,72796.99,72806.45,0.00013,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR110230-30,yes,39,59,20.0,72725.19,72716.98,0.00011,1,1,61.0,3.33,57.67
KXBTC15M-26APR110145-45,no,7,59,34.0,72841.78,72836.41,0.00007,1,0,-7.0,0.91,-7.91
KXBTC15M-26APR110100-00,no,30,33,37.0,72824.56,72842.10,0.00024,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR102230-30,no,8,50,42.0,73005.68,73005.56,0.00000,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR102215-15,no,12,55,33.0,72973.60,72967.90,0.00008,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR102030-30,no,28,36,36.0,72888.66,72902.82,0.00019,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR102000-00,no,6,57,37.0,72959.51,72952.02,0.00010,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR101945-45,no,24,33,43.0,72912.10,72929.73,0.00024,1,0,-24.0,2.55,-26.55
