ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR102230-30,BB_PURE_MEANREV,T600,no,33,73009.63,73005.56,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR102215-15,BB_PURE_MEANREV,T600,yes,48,72978.99,72967.90,1,1,52.0,3.49,48.51
KXBTC15M-26APR102030-30,BB_PURE_MEANREV,T600,yes,53,72921.81,72902.82,1,1,47.0,3.49,43.51
KXBTC15M-26APR100815-15,BB_PURE_MEANREV,T600,no,40,72133.76,72149.07,0,1,60.0,3.36,56.64
KXBTC15M-26APR100730-30,BB_PURE_MEANREV,T600,no,10,72141.81,72124.94,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR100345-45,BB_PURE_MEANREV,T600,yes,42,71756.78,71735.73,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR092330-30,BB_PURE_MEANREV,T600,yes,26,71909.12,71904.90,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR092230-30,BB_PURE_MEANREV,T600,yes,24,72250.58,72236.38,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR092100-00,BB_PURE_MEANREV,T600,no,29,71938.32,71927.52,0,1,71.0,2.88,68.12
KXBTC15M-26APR092015-15,BB_PURE_MEANREV,T600,no,30,71801.91,71794.20,0,1,70.0,2.94,67.06
KXBTC15M-26APR091930-30,BB_PURE_MEANREV,T600,no,43,71807.55,71811.25,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR091500-00,BB_PURE_MEANREV,T600,no,29,71840.77,71839.74,1,0,-29.0,2.88,-31.88
KXBTC15M-26APR091300-00,BB_PURE_MEANREV,T600,yes,20,71980.41,71973.67,1,1,80.0,2.24,77.76
KXBTC15M-26APR090200-00,BB_PURE_MEANREV,T600,yes,5,71057.75,71056.14,0,0,-5.0,0.67,-5.67
KXBTC15M-26APR082330-30,BB_PURE_MEANREV,T600,no,43,70977.44,70989.53,0,1,57.0,3.43,53.57
KXBTC15M-26APR082245-45,BB_PURE_MEANREV,T600,no,50,71019.70,71043.11,0,1,50.0,3.50,46.50
KXBTC15M-26APR082100-00,BB_PURE_MEANREV,T600,yes,26,70819.93,70802.84,1,1,74.0,2.69,71.31
KXBTC15M-26APR082015-15,BB_PURE_MEANREV,T600,yes,12,71113.05,71118.65,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR081215-15,BB_PURE_MEANREV,T600,no,45,71289.73,71305.68,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR081030-30,BB_PURE_MEANREV,T600,yes,33,71553.94,71536.01,0,0,-33.0,3.10,-36.10
KXBTC15M-26APR080630-30,BB_PURE_MEANREV,T600,no,12,71604.03,71611.05,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR080600-00,BB_PURE_MEANREV,T600,no,9,71633.78,71614.41,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR080445-45,BB_PURE_MEANREV,T600,yes,36,71757.63,71755.83,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR071115-15,BB_PURE_MEANREV,T600,yes,45,67893.51,67871.61,0,0,-45.0,3.47,-48.47
KXBTC15M-26APR070330-30,BB_PURE_MEANREV,T600,no,12,68532.16,68548.99,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR070315-15,BB_PURE_MEANREV,T600,yes,6,68570.20,68582.09,0,0,-6.0,0.79,-6.79
KXBTC15M-26APR070115-15,BB_PURE_MEANREV,T600,yes,30,68843.15,68855.32,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR070100-00,BB_PURE_MEANREV,T600,no,15,68858.70,68834.40,1,0,-15.0,1.79,-16.79
KXBTC15M-26APR070030-30,BB_PURE_MEANREV,T600,yes,11,68620.20,68634.26,0,0,-11.0,1.37,-12.37
KXBTC15M-26APR061800-00,BB_PURE_MEANREV,T600,no,9,69482.18,69460.99,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR061615-15,BB_PURE_MEANREV,T600,yes,25,69719.91,69740.81,0,0,-25.0,2.63,-27.62
KXBTC15M-26APR061600-00,BB_PURE_MEANREV,T600,yes,35,69775.31,69761.36,0,0,-35.0,3.19,-38.19
