ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241130-30,FULL_STACK,T060,yes,42,77756.89,77747.86,1,1,58.0,3.41,54.59
KXBTC15M-26APR240945-45,FULL_STACK,T060,no,62,78058.00,78216.81,0,1,38.0,3.30,34.70
KXBTC15M-26APR240745-45,FULL_STACK,T060,yes,41,78329.03,78328.70,0,0,-41.0,3.39,-44.39
KXBTC15M-26APR240645-45,FULL_STACK,T060,yes,42,77703.66,77703.36,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR240615-15,FULL_STACK,T060,yes,32,77524.01,77549.49,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR240230-30,FULL_STACK,T060,no,43,77934.12,77946.06,0,1,57.0,3.43,53.57
KXBTC15M-26APR240215-15,FULL_STACK,T060,yes,49,78011.37,77982.08,0,0,-49.0,3.50,-52.50
KXBTC15M-26APR240130-30,FULL_STACK,T060,no,42,77588.38,77592.22,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR240115-15,FULL_STACK,T060,no,45,77676.36,77698.68,0,1,55.0,3.47,51.53
KXBTC15M-26APR232245-45,FULL_STACK,T060,no,38,78268.65,78287.09,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR231915-15,FULL_STACK,T060,no,47,78227.84,78255.38,0,1,53.0,3.49,49.51
KXBTC15M-26APR231545-45,FULL_STACK,T060,no,49,77863.05,77890.50,0,1,51.0,3.50,47.50
KXBTC15M-26APR231515-15,FULL_STACK,T060,no,56,77642.86,77760.03,0,1,44.0,3.45,40.55
KXBTC15M-26APR231330-30,FULL_STACK,T060,no,59,77716.79,77863.28,0,1,41.0,3.39,37.61
KXBTC15M-26APR231315-15,FULL_STACK,T060,no,31,77965.81,78128.71,0,1,69.0,2.99,66.01
KXBTC15M-26APR231130-30,FULL_STACK,T060,yes,57,78266.87,78121.00,1,1,43.0,3.43,39.57
KXBTC15M-26APR231100-00,FULL_STACK,T060,no,34,77951.95,77928.40,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR231045-45,FULL_STACK,T060,no,46,77704.00,77842.93,1,0,-46.0,3.48,-49.48
KXBTC15M-26APR231030-30,FULL_STACK,T060,no,37,77513.72,77521.76,1,0,-37.0,3.26,-40.26
KXBTC15M-26APR230730-30,FULL_STACK,T060,no,47,77414.05,77432.06,1,0,-47.0,3.49,-50.49
KXBTC15M-26APR230630-30,FULL_STACK,T060,no,28,77209.42,77233.64,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR230600-00,FULL_STACK,T060,yes,26,77753.93,77748.43,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR222230-30,FULL_STACK,T060,no,66,78078.71,78230.61,0,1,34.0,3.14,30.86
KXBTC15M-26APR222100-00,FULL_STACK,T060,no,39,78452.06,78428.84,0,1,61.0,3.33,57.67
KXBTC15M-26APR222030-30,FULL_STACK,T060,no,80,77623.09,77959.83,1,0,-80.0,2.24,-82.24
