ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241145-45,BB_PURE_MEANREV,T300,no,49,77821.76,77849.41,1,0,-49.0,3.50,-52.50
KXBTC15M-26APR240945-45,BB_PURE_MEANREV,T300,no,38,78218.61,78216.81,0,1,62.0,3.30,58.70
KXBTC15M-26APR240930-30,BB_PURE_MEANREV,T300,no,34,78355.01,78382.59,0,1,66.0,3.14,62.86
KXBTC15M-26APR240815-15,BB_PURE_MEANREV,T300,yes,41,78299.91,78269.28,1,1,59.0,3.39,55.61
KXBTC15M-26APR240345-45,BB_PURE_MEANREV,T300,yes,26,77735.00,77732.59,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR240215-15,BB_PURE_MEANREV,T300,yes,36,78011.37,77982.08,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR232000-00,BB_PURE_MEANREV,T300,yes,53,78299.30,78274.36,1,1,47.0,3.49,43.51
KXBTC15M-26APR231945-45,BB_PURE_MEANREV,T300,no,31,78137.77,78162.17,1,0,-31.0,2.99,-33.99
KXBTC15M-26APR231900-00,BB_PURE_MEANREV,T300,no,51,78298.48,78320.32,0,1,49.0,3.50,45.50
KXBTC15M-26APR231700-00,BB_PURE_MEANREV,T300,yes,21,77995.86,77997.99,0,0,-21.0,2.32,-23.32
KXBTC15M-26APR230745-45,BB_PURE_MEANREV,T300,yes,18,77477.33,77492.26,1,1,82.0,2.07,79.93
KXBTC15M-26APR230645-45,BB_PURE_MEANREV,T300,no,39,77415.65,77405.66,0,1,61.0,3.33,57.67
KXBTC15M-26APR230630-30,BB_PURE_MEANREV,T300,no,20,77209.42,77233.64,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR230530-30,BB_PURE_MEANREV,T300,no,19,77591.56,77591.51,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR222130-30,BB_PURE_MEANREV,T300,yes,21,78274.41,78284.16,0,0,-21.0,2.32,-23.32
KXBTC15M-26APR221600-00,BB_PURE_MEANREV,T300,no,43,78874.91,78895.49,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR221415-15,BB_PURE_MEANREV,T300,no,45,78906.98,78926.23,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR221000-00,BB_PURE_MEANREV,T300,no,39,78638.24,78632.19,1,0,-39.0,3.33,-42.33
KXBTC15M-26APR220600-00,BB_PURE_MEANREV,T300,yes,33,78144.75,78159.50,0,0,-33.0,3.10,-36.10
KXBTC15M-26APR220500-00,BB_PURE_MEANREV,T300,no,49,77948.78,77975.67,1,0,-49.0,3.50,-52.50
