ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26MAR302215-15,yes,9,51,42.0,67909.87,67908.21,0.00002,0,0,-9.0,1.15,-10.15
KXBTC15M-26MAR301645-45,yes,26,67,41.0,66634.39,66609.38,0.00038,1,1,74.0,2.69,71.31
KXBTC15M-26MAR300515-15,yes,6,49,43.0,67627.91,67629.68,0.00003,0,0,-6.0,0.79,-6.79
KXBTC15M-26MAR300330-30,yes,10,65,55.0,67349.60,67331.56,0.00027,0,0,-10.0,1.26,-11.26
KXBTC15M-26MAR290830-30,yes,11,82,71.0,66781.42,66756.78,0.00037,0,0,-11.0,1.37,-12.37
KXBTC15M-26MAR280245-45,yes,32,68,36.0,66426.69,66417.31,0.00014,0,0,-32.0,3.05,-35.05
KXBTC15M-26MAR272245-45,yes,13,58,45.0,66018.38,66008.95,0.00014,0,0,-13.0,1.58,-14.58
KXBTC15M-26MAR271400-00,yes,22,49,27.0,65631.50,65633.80,0.00004,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR262145-45,yes,38,49,11.0,68868.68,68869.90,0.00002,0,0,-38.0,3.30,-41.30
KXBTC15M-26MAR261515-15,yes,48,67,19.0,68465.65,68444.25,0.00031,0,0,-48.0,3.49,-51.49
KXBTC15M-26MAR261015-15,no,32,52,16.0,69565.72,69560.78,0.00007,0,1,68.0,3.05,64.95
KXBTC15M-26MAR260530-30,yes,7,20,13.0,69996.10,70021.69,0.00037,0,0,-7.0,0.91,-7.91
KXBTC15M-26MAR260045-45,yes,33,65,32.0,70849.32,70838.05,0.00016,0,0,-33.0,3.10,-36.10
KXBTC15M-26MAR252315-15,yes,16,46,30.0,70876.14,70880.77,0.00007,1,1,84.0,1.88,82.12
KXBTC15M-26MAR252145-45,yes,12,68,56.0,71306.41,71285.25,0.00030,0,0,-12.0,1.48,-13.48
KXBTC15M-26MAR252115-15,yes,16,66,50.0,71279.70,71259.30,0.00029,0,0,-16.0,1.88,-17.88
KXBTC15M-26MAR251900-00,yes,18,60,42.0,71374.43,71353.91,0.00029,1,1,82.0,2.07,79.93
