ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR240530-30,no,5,29,66.0,77492.39,77513.73,0.00028,1,0,-5.0,0.67,-5.67
KXBTC15M-26APR232315-15,no,22,29,49.0,78138.23,78162.17,0.00031,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR230715-15,no,32,32,36.0,77414.05,77429.64,0.00020,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR230530-30,no,6,71,23.0,77609.47,77591.51,0.00023,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR221730-30,no,11,25,64.0,78581.55,78596.42,0.00019,1,0,-11.0,1.37,-12.37
KXBTC15M-26APR221500-00,no,11,44,45.0,79008.53,79013.11,0.00006,1,0,-11.0,1.37,-12.37
KXBTC15M-26APR220515-15,no,32,25,43.0,78043.21,78065.33,0.00028,0,1,68.0,3.05,64.95
KXBTC15M-26APR220245-45,no,14,33,53.0,77936.59,77955.06,0.00024,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR211730-30,yes,16,51,35.0,75600.99,75599.79,0.00002,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR211645-45,no,6,39,55.0,75651.35,75672.31,0.00028,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR211415-15,no,14,55,31.0,75571.63,75561.72,0.00013,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR211245-45,no,14,55,31.0,75900.00,75894.20,0.00008,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR210930-30,no,6,40,54.0,76025.04,76038.36,0.00018,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR210415-15,no,14,29,57.0,76104.39,76133.25,0.00038,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR210300-00,yes,26,38,12.0,76022.38,76034.37,0.00016,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR200945-45,no,36,41,23.0,75170.95,75184.17,0.00018,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR200900-00,no,9,48,43.0,75262.67,75264.70,0.00003,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR192245-45,yes,7,58,51.0,74500.00,74490.95,0.00012,1,1,93.0,0.91,92.09
KXBTC15M-26APR191700-00,no,14,37,49.0,74641.48,74661.86,0.00027,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR191530-30,yes,50,62,12.0,75004.32,74994.71,0.00013,1,1,50.0,3.50,46.50
KXBTC15M-26APR191415-15,no,26,58,16.0,74829.70,74817.55,0.00016,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR191330-30,no,6,34,60.0,75256.73,75275.98,0.00026,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR190815-15,no,7,26,67.0,75609.47,75635.84,0.00035,1,0,-7.0,0.91,-7.91
KXBTC15M-26APR190645-45,no,14,35,51.0,75110.17,75121.60,0.00015,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR190500-00,yes,33,41,8.0,75274.42,75276.47,0.00003,0,0,-33.0,3.10,-36.10
KXBTC15M-26APR190130-30,no,6,18,76.0,75562.33,75591.42,0.00038,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR182215-15,yes,9,43,34.0,75649.99,75653.13,0.00004,0,0,-9.0,1.15,-10.15
KXBTC15M-26APR182115-15,no,39,39,22.0,75672.45,75681.20,0.00012,0,1,61.0,3.33,57.67
KXBTC15M-26APR181915-15,no,10,40,50.0,75853.97,75858.14,0.00005,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR181345-45,no,39,19,42.0,75890.61,75908.53,0.00024,1,0,-39.0,3.33,-42.33
KXBTC15M-26APR170345-45,no,44,15,41.0,74962.60,74979.54,0.00023,1,0,-44.0,3.45,-47.45
